BIBLIOTECA;;;;;;;
GENERE;TITOLO;AUTORE;CASA EDITRICE;ANNO;LUOGO;;
CUCINA;La birra;Sabellico-Di Nardo;Gambero rosso editore;1996;CORRIDOIO;;
CUCINA;Il nuovissimo cucchiaio d'argento;Antonia Monti Tedeschi;Editoriale domus;1986;CORRIDOIO;;
CUCINA;La minestra di farro;Vari;Confcommercio;1990;CORRIDOIO;;
CUCINA;Carciofo;Vari;Food editore srl;2010;CORRIDOIO;;
CUCINA;L'arte e il piacere di mangiare bene e sano;Ennio Lazzarini;Pazzini editore;2002;CORRIDOIO;;
CUCINA;Il libro dei menù;vari;Sapori e dintorni;2015;CORRIDOIO;;
CUCINA;L'estate in tavola;Vari;Sapori e dintorni;2013;CORRIDOIO;;
CUCINA;Pizza, focacce, piadine;Josine Negrone;De vecchi Editore;1996;CORRIDOIO;;
CUCINA;La piccola dispensa del barista di Leo Spimi;Leo Spimi;Tipo lito Maestri;1987;CORRIDOIO;;
CUCINA;Il grande libro della cucina vegetariana;Elio Casati;Mariotti;1993;CORRIDOIO;;
CUCINA;Marche da bere;Edoardo Raspelli;Upi Marche;1992;CORRIDOIO;;
DIRITTO;La Costituzione della Repubblica italiana;Vari;Silgraf  ;1975;CORRIDOIO;;
DIRITTO;Compendio di legislazione scolastica;Vari;Edizioni giuridiche Simone;2015;CORRIDOIO;;
DIRITTO;La Costituzione della Repubblica italiana;Vari;Silgraf  ;1975;CORRIDOIO;;
DIRITTO;La Costituzione della Repubblica italiana;Vari;Silgraf  ;1975;CORRIDOIO;;
DIRITTO;Il mio promo codice civile;Fabiani Vittorio;Curvilinee;2008;CORRIDOIO;;
DIRITTO;Estimo;Giuseppe Mario Iovino;Le Monnier;1984;CORRIDOIO;;
DIRITTO;Diritto agrario;Vari;Edagricole;1982;CORRIDOIO;;
DIRITTO;Prontuario economico estimativo;Francesco Alvisi;Paccagnella editore;1975;CORRIDOIO;;
DIRITTO;Estimo;Vari;Calderini;1986;CORRIDOIO;;
DIRITTO;Dichiarazione universale dei diritti umani;Vari;Amnesty International;2003;CORRIDOIO;;
DIZIONARIO;Vocabolario della lingua italiana;Pietro Fanfani;Felice Le Monnier ;1865;SALA;;
DIZIONARIO;Nuovissimo vocabolario della lingua italiana;Niccolò Tommaseo;A. Bietti Editore;1890;SALA;;
DIZIONARIO;Dizionario Garzanti della lingua italiana;Garzanti;Garzanti Editore;1979;SALA;;
DIZIONARIO;Dizionario Etimologico;Giacomo Devoto;Edizione CDE spa Milano;1995;SALA;;
DIZIONARIO;Dizionario Analogico della lingua italiana;Luca Terzolo;Utet;1995;SALA;;
DIZIONARIO;Dizionario dei sinonimi e dei contrari;B.M. Quartu;Edizione CDE spa Milano;1995;SALA;;
DIZIONARIO;Dizionario Latino -Italiano  Italiano-Latino;Sandrone-Coda;Edizioni Polaris;1992;SALA;;
DIZIONARIO;Active Study Dictionary;Vari;Longman;1983;SALA;;
DIZIONARIO;Il piccolo Palazzi;Vari;Ceschina;1968;SALA;;
DIZIONARIO;Vocabolario italiano Francese;Vari;Società editrice internazionale;1960;SALA;;
DIZIONARIO;Dizionario UFO;Ulrich Dopatka;Sperling;1979;CORRIDOIO;;
DIZIONARIO;Centomila;Giuseppe Berti;Tipografia Colonna;1949;CORRIDOIO;;
DIZIONARIO;Dizionario di politica;Bobbio-Matteucci-Pasquino;UTET;2014;CORRIDOIO;;
DIZIONARIO;English dictionary;Vari;Modern languages;2002;CORRIDOIO;;
DIZIONARIO;Lo zingarelli minore;Vari;Zanichelli Editore;2005;CORRIDOIO;;
DIZIONARIO;Inglese-italiano italiano-inglese;Hazon;Garzanti Editore;1985;CORRIDOIO;;
DIZIONARIO;Lo zingarelli minore;Vari;Zanichelli Editore;2005;CORRIDOIO;;
DIZIONARIO;Francese dizionario;Vari;Modern languages;2005;CORRIDOIO;;
ECOLOGIA;Il globo terrestre e la sua evoluzione;Accordi-Palmieri;Zanichelli Editore;1991;CORRIDOIO;;
ECONOMIA;Disuguaglianza;Anthony B. Atkinson;Raffaello Cortina Editore;2015;CORRIDOIO;;
ENCICLOPEDIA;L'universale vol I;Vari;Garzanti Editore;2005;SALA;;
ENCICLOPEDIA;L'universale vol II;Vari;Garzanti Editore;2005;SALA;;
ENCICLOPEDIA;L'universale vol III;Vari;Garzanti Editore;2005;SALA;;
ENCICLOPEDIA;Il magico mondo dei minerali e gemme vol 4;Vari;De Agostini Editore;1996;CORRIDOIO;;
ENCICLOPEDIA;Il magico mondo dei minerali e gemme vol 3;Vari;De Agostini Editore;1996;CORRIDOIO;;
ENCICLOPEDIA;Il magico mondo dei minerali e gemme vol 2;Vari;De Agostini Editore;1996;CORRIDOIO;;
ENCICLOPEDIA;Il magico mondo dei minerali e gemme vol 1;Vari;De Agostini Editore;1996;CORRIDOIO;;
ENCICLOPEDIA;Nel meraviglioso mondo degli animali;Vari;Curcio editore;1974;CORRIDOIO;;
ENCICLOPEDIA;Corso completo di scacchi vol I;Vari;De Agostini Editore;2002;CORRIDOIO;;
ENCICLOPEDIA;Corso completo di scacchi vol II;Vari;De Agostini Editore;2002;CORRIDOIO;;
ENCICLOPEDIA;Corso completo di scacchi vol III;Vari;De Agostini Editore;2002;CORRIDOIO;;
ENCICLOPEDIA;Corso completo di scacchi vol IV;Vari;De Agostini Editore;2002;CORRIDOIO;;
ENCICLOPEDIA;L'universo vol I;Vari;De Agostini Editore;1997;CORRIDOIO;;
ENCICLOPEDIA;L'universo vol II;Vari;De Agostini Editore;1997;CORRIDOIO;;
ENCICLOPEDIA;L'universo vol III;Vari;De Agostini Editore;1997;CORRIDOIO;;
ENCICLOPEDIA;L'universo vol IV;Vari;De Agostini Editore;1997;CORRIDOIO;;
ENCICLOPEDIA;L'universo vol V;Vari;De Agostini Editore;1997;CORRIDOIO;;
ENCICLOPEDIA;L'universo vol VI;Vari;De Agostini Editore;1997;CORRIDOIO;;
ENCICLOPEDIA;L'universo vol VII;Vari;De Agostini Editore;1997;CORRIDOIO;;
ENCICLOPEDIA;L'universo vol VII;Vari;De Agostini Editore;1997;CORRIDOIO;;
ENCICLOPEDIA;La gtrande enciclopedia dei miti e delle leggende;Arthur Cotterel;Rizzoli Editore;1990;CORRIDOIO;;
ENCICLOPEDIA;Enciclopedia del diritto;Vari;De Agostini Editore;1995;CORRIDOIO;;
EPICA;Eneide;Publio Virgilio Marone;Bacheca Ebook;2010;CORRIDOIO;;
EPICA;Iliade;Omero;Garzanti Editore;2011;CORRIDOIO;;
EPICA;Bellezze dell'Iliade, dell'Odissea e dell'Eneide;Enrico Mestica;Tipografia Barbera;1935;SALA;;
EPICA;Odissea;Ippolito Pindemonte;Editore Fabietti;1931;SALA;;
EPICA;Odissea;Omero;Feltrinelli;2010;CORRIDOIO;;
EPICA;I miti greci;Robert Graves;Longanesi;1983;SALA;; 
EPICA;L'Eneide di Virgilio;Virgilio;Casa editrice Principato;1983;CORRIDOIO;;
EPICA;100 miti greci;Coats-Lewis;Mondadori Editore;2002;CORRIDOIO;;
EPICA;Il mio mondo epico;A.M. Genesini;Edizioni del Giglio;1956;CORRIDOIO;;
FAVOLE;Le mie novelle;M.P.Pezzi;Edizioni Lilliput;1974;CORRIDOIO;;
FAVOLE;Le più belle fiabe di La Fontaine;La Fontaine;Eurolibri;1978;CORRIDOIO;;
FAVOLE;La piccola fiammiferaia;H.C. Andersen;Bietti;1969;CORRIDOIO;;
FAVOLE;Le più belle favole di tutti itempi;Vari;Libritalia;1997;CORRIDOIO;;
FAVOLE;I musicanti di Brema;Vari;De Agostini Editore;1990;CORRIDOIO;;
FAVOLE;Storia della pecorella smarrita;Vari;Il pozzo di Giacobbe;2008;CORRIDOIO;;
FILOSOFIA;Apologia di Socrate;Platone;Bompiani Editore;2022;CAMERA L;;
FILOSOFIA;I paradossi dalla A alla Z;Michael Clark;Raffaello Cortina Editore;2005;SALA;;
FILOSOFIA;Antologia;Galileo Galilei;Editrice la scuola;1986;SALA;;
FILOSOFIA;Protagora;Platone;Editrice la scuola;1969;SALA;;
FILOSOFIA;La natura delle cose (De rerum natura);Lucrezio;Rizzoli Editore;2017;CAMERA L;;
FILOSOFIA;La filosofia antica;Emanuele Severino;Rizzoli Editore;1992;SALA;;
FILOSOFIA;Genesi;Francesco Alberoni;Garzanti Editore;1990;SALA;;
FILOSOFIA;Manifesto del partito comunista;Marx - Engels;Newton;1994;CORRIDOIO;;
FILOSOFIA;Platone Dialoghi;Platone;Edizione CDE spa Milano;1991;SALA;;
FILOSOFIA;Natura Umana;Andrea Guti;Edizioni Meudon;2010;CORRIDOIO;;
FILOSOFIA;Quale stato sociale;Luigi Lorenzetti;Cittadella editrice;2011;CORRIDOIO;;
FILOSOFIA;Mosè-Gesù-Freud;Vari;Sic edizioni;2007;CORRIDOIO;;
FILOSOFIA;Storia della filosofia;Reale-Antiseri;Editrice la scuola;2008;CORRIDOIO;;
FILOSOFIA;Platone Apologia di Socrate, Critone;Platone;Rusconi editore;2008;CORRIDOIO;;
FILOSOFIA;Storia del pensiero filosofico vol I;Perone-Ferretti-Ciancio;Società editrice internazionale;1986;CORRIDOIO;;
FILOSOFIA;Storia del pensiero filosofico vol II;Perone-Ferretti-Ciancio;Società editrice internazionale;1986;CORRIDOIO;;
FILOSOFIA;Storia del pensiero filosofico vol III;Perone-Ferretti-Ciancio;Società editrice internazionale;1986;CORRIDOIO;;
FILOSOFIA;Catullo Carmi;Vincenzo Guarracino;Bompiani Editore;1991;CORRIDOIO;;
FILOSOFIA;Filosofia della microfisica;Esposito-Porro;Laterza editore;2009;CORRIDOIO;;
FILOSOFIA;Breve storia della filosofia;Nigel Warburton;Salani Editore;2013;CORRIDOIO;;
FILOSOFIA;21 piccole storie Zen;Marina Luele;Uno editore;2013;CORRIDOIO;;
FILOSOFIA;La filosofia vol I;Abbagnano-Fornero;Paravia;2015;CAMERA L;;
FILOSOFIA;La filosofia vol II;Abbagnano-Fornero;Paravia;2015;CAMERA L;;
FILOSOFIA;La filosofia vol III;Abbagnano-Fornero;Paravia;2015;CAMERA L;;
FILOSOFIA;La filosofia vol IV;Abbagnano-Fornero;Paravia;2015;CAMERA L;;
FILOSOFIA;La filosofia vol V;Abbagnano-Fornero;Paravia;2015;CAMERA L;;
FILOSOFIA;La filosofia vol VI;Abbagnano-Fornero;Paravia;2015;CAMERA L;;
FILOSOFIA;Plauto;Vari;Garzanti Editore;1999;CAMERA L;;
FILOSOFIA;Seneca Apokolokyntosis;Giulio Vannini;Mondadori Editore;2017;CAMERA L;;
FISICA;L'equazione da un milione di dollari;Marcus Du Sautoy;Rizzoli Editore;2010;SALA;;
FISICA;La mente nuova dell'imperatore;Roger Penrose;Oxford University Press;2009;SALA;;
FISICA;L'universo di Stephene Hawking;John Boslough;Rizzoli Editore;1990;SALA;;
FISICA;Pensieri di un uomo curioso;Albert Einstein;Mondadori Editore;1997;SALA;;
FISICA;Lettere d'Amore;Albert Einstein e Mileva Maric;Edizione CDE spa Milano;1993;SALA;;
FISICA;Le cinque equazioni che hanno cambiato il mondo;Michael Guillen;Mondadori Editore;1997;SALA;;
