BIBLIOTECA;;;;;;;
GENERE;TITOLO;AUTORE;CASA EDITRICE;ANNO;LUOGO;;
NARRATIVA;The collector;John Fowles;Panther;1975;SALA;;
NARRATIVA;Rinascimento etico e guerra;Filippo Ferra;Pendagron;2004;SALA;;
NARRATIVA;Termine di un viaggio di servizio;Heinrich Boll;Bompiani;1972;SALA;;
NARRATIVA;Anche le formiche nel loro piccolo s'incazzano;Gino & Michele;Einaudi Editore;1991;SALA;;
NARRATIVA;Sesso? Fai da te;Giobbe Covatta;Zelig Editore;1995;SALA;;
NARRATIVA;I proverbi italiani;Maria Pia Tosti Croce;Edizione CDE spa Milano;1990;SALA;;
NARRATIVA;Il grande libro delle barzellette;Gino Bramieri;De vecchi Editore;1981;SALA;;
NARRATIVA;Selezione della narrativa mondiale vol 1;Vari;Readers digest;1978;SALA;;
NARRATIVA;Selezione della narrativa mondiale vol 2;Vari;Readers digest;1978;SALA;;
NARRATIVA;Selezione della narrativa mondiale vol 3;Vari;Readers digest;1978;SALA;;
NARRATIVA;E l'alluce fu;Roberto Benigni;Mondadori Editore;1997;SALA;;
NARRATIVA;Artemis Fowl;Eoin Colfer;Mondadori Editore;2001;CORRIDOIO;;
NARRATIVA;Il linguaggio segreto delle date di nascita 1° Luglio;Vari;Lego spa;1998;CORRIDOIO;;
NARRATIVA;Come smettere di farsi le seghe mentali;Giulio Cesare Giacobbe;Ponte alle Grazie;2005;CORRIDOIO;;
NARRATIVA;Una donna e altri animali;Brunella Gasperini;Rizzoli Editore;1981;CORRIDOIO;;
NARRATIVA;Paris la nuit;Valeries Tasso;Nuovo istituto italiano d'arti;2006;CORRIDOIO;;
NARRATIVA;L'isola del tesoro;Robert Louis Stevenson;Adelphy ;2019;CORRIDOIO;;
NARRATIVA;Il Fantastico Robert Louis Stewenson;Robert Louis Stevenson;Mondadori Editore;2024;CORRIDOIO;;
NARRATIVA;Elisa finalmente libera;Elia Gonzales;Editrice nuovi autori;2001;CORRIDOIO;;
NARRATIVA;Ossidiana;Piero Buscemi;Editrice nuovi autori;2001;CORRIDOIO;;
NARRATIVA;I giorni dell'amore, i giorni dell'odio;Sabina Colloredo;Einaudi Editore;2006;CORRIDOIO;;
NARRATIVA;Bis nuovi momenti catartici;Flavio Oreglio;Mondadori Editore;2003;CORRIDOIO;;
NARRATIVA;In televisione sembravamo più alti;Aldo Giovanni e Giacomo;Zelig Editore;2003;CORRIDOIO;;
NARRATIVA;I frutti dimenticati;Cristiano Cavina;Marcos Y Marcos;2008;CORRIDOIO;;
NARRATIVA;Il museo abbandonato;Henry Changellor;Mondadori Editore;2009;CORRIDOIO;;
NARRATIVA;Bim bianco dall'orecchio nero;Gavnil Troiepolski;Giunti Editore;1980;CORRIDOIO;;
NARRATIVA;Le brutte scienze Luci, Lampi rifrazioni;Vari;Salani Editore;1999;CORRIDOIO;;
NARRATIVA;Le brutte scienze Centrifughe, schianti, propulsioni;Vari;Salani Editore;1999;CORRIDOIO;;
NARRATIVA;Le brutte scienze Caotica chimica;Vari;Salani Editore;1999;CORRIDOIO;;
NARRATIVA;Le brutte scienze Catarro, peste, febbre gialla;Vari;Salani Editore;1999;CORRIDOIO;;
NARRATIVA;Le brutte scienze Onde, armonici, boati;Vari;Salani Editore;1999;CORRIDOIO;;
NARRATIVA;Strangers;Dean R. Koontz;Bompiani;1993;CORRIDOIO;;
NARRATIVA;Le brutte scienze Ossa, trippe, budella;Vari;Salani Editore;1999;CORRIDOIO;;
NARRATIVA;Le brutte scienze Elettroni, Catodi, fotoni;Vari;Salani Editore;1999;CORRIDOIO;;
NARRATIVA;Le brutte scienze Colon, Succhi gastrici, pilori;Vari;Salani Editore;1999;CORRIDOIO;;
NARRATIVA;Le brutte scienze Germi, Virus, batteri;Vari;Salani Editore;1999;CORRIDOIO;;
NARRATIVA;Harry Potter e l'ordine della fenice;J.K. Rowling;Salani Editore;2003;CORRIDOIO;;
NARRATIVA;Harry Potter e i giorni della morte;J.K. Rowling;Salani Editore;2008;CORRIDOIO;;
NARRATIVA;Harry Potter e il principe mezzosangue;J.K. Rowling;Salani Editore;2005;CORRIDOIO;;
NARRATIVA;Harry Potter e la camera dei segreti;J.K. Rowling;Salani Editore;2002;CORRIDOIO;;
NARRATIVA;Selezione della narrativa mondiale;Vari;Readers digest;1977;CORRIDOIO;;
NARRATIVA;avere un naturopata in casa;Cristiano Tenca;Edizioni il punto d'incontro;2004;CORRIDOIO;;
NARRATIVA;Onoevole, stia zitto;Giulio Andreotti;Rizzoli Editore;1987;CORRIDOIO;;
NARRATIVA;I'incomparabile sapore del sigaro cubano;Fabio Ballestracci;F.lli Frilli editore;2004;CORRIDOIO;;
NARRATIVA;Prog;Donato Zoppo;Lit edizioni;2012;CORRIDOIO;;
NARRATIVA;Nelle sue mani;Marthe Blau;Mondadori Editore;2003;CORRIDOIO;;
NARRATIVA;Chi ha paura del lupo cattivo;Cesare Musatti;Edizione CDE spa Milano;1987;CORRIDOIO;;
NARRATIVA;Anna di Green Gables;L.M. Montgomery;Mondadori Editore;1980;CORRIDOIO;;
NARRATIVA;Croce e delizia;Luciano De Crescenzo;Mondadori Editore;1993;CORRIDOIO;;
NARRATIVA;Vita;Melania G. Mazzucco;RCS Libri;2003;CORRIDOIO;;
NARRATIVA;La montagna blu;Meir Shalev;Frassinelli editore;2002;CORRIDOIO;;
NARRATIVA;Pazza;Claudia Reilly;Fabbri Editore;1987;CORRIDOIO;;
NARRATIVA;Piero di nessuno;Bruna Bigazzi;Cultura editrice;1974;CORRIDOIO;;
NARRATIVA;Treno senza ritorno;Bruna Bigazzi;Cultura editrice;1975;CORRIDOIO;;
NARRATIVA;Loro dell'Inca;Clive Cussler;Longanesi;1994;CORRIDOIO;;
NARRATIVA;Socrate;Luciano De Crescenzo;Mondadori Editore;1993;CORRIDOIO;;
NARRATIVA;La casa sul canale;George Simenon;Adeplphi Editore;2006;CORRIDOIO;;
NARRATIVA;Agostino;Alberto Moravia;Bompiani Editore;1988;CORRIDOIO;;
NARRATIVA;Maschere per un massacro;Paolo Rumiz;Feltrinelli;2011;CORRIDOIO;;
NARRATIVA;Le disavventure di Margaret;Cathleen Schine;Adeplphi Editore;1998;CORRIDOIO;;
NARRATIVA;Pellegrina e straniera;Marguerite Yourcenar;Einaudi Editore;1990;CORRIDOIO;;
NARRATIVA;Il tempo delle mele;Bresso-Thomson;Garzanti Editore;1983;CORRIDOIO;;
NARRATIVA;E duro campo di battglia il letto;Una Chi;Edizioni CDE;1994;CORRIDOIO;;
NARRATIVA;Sedicianni;Rosamond Du Jardin;Baldini & Castoldi;1953;CORRIDOIO;;
NARRATIVA;Qualcuno mi attende;Bruna Bigazzi;Giorgi & Gambi Firenze;1982;CORRIDOIO;;
NARRATIVA;Il quinto figlio;Doris Lessing;Feltrinelli;1988;CORRIDOIO;;
NARRATIVA;Pancreas;Giobbe Covatta;Salani Editore;1993;CORRIDOIO;;
NARRATIVA;Disonora il giusto, quello che hanno fatto a Muccioli;Davide Giacaloni;SEAM;1996;CORRIDOIO;;
NARRATIVA;Vita con Achille;Maria Bovoli;Grafica veneta;2006;CORRIDOIO;;
NARRATIVA;Cento e una poesia e frasi celebri;Vari;La spiga;1990;CORRIDOIO;;
NARRATIVA;I figli del duce;Antonio Spinosa;Rizzoli Editore;1989;CORRIDOIO;;
NARRATIVA;Oniria;Micheletti Maurizio;Streetlib;2002;CORRIDOIO;;
NARRATIVA;Oniria;Micheletti Maurizio;Streetlib;2020;CORRIDOIO;;
NARRATIVA;Avevo 12 anni;Sabine Dardenne;RCS Libri;2004;CORRIDOIO;;
NARRATIVA;E adesso che mi sono innamorato di te cosa facciamo?;David Viscott;Sonzogno;1989;CORRIDOIO;;
NARRATIVA;Viaggio allucinante;Isaac Asimov;Mondadori Editore;1977;CORRIDOIO;;
NARRATIVA;Utopia  ;Ythomas More;Feltrinelli;2019;CORRIDOIO;;
NARRATIVA;E' finito il nostro carnevale;Fabio Stassi;Grafica veneta;2015;CORRIDOIO;;
NARRATIVA;La scuola fa male;James Marcus Bach;Sperling;2009;CORRIDOIO;;
NARRATIVA;Il dizionario del diavolo;Ambrose Bierce;Baldini & Castoldi;2012;CORRIDOIO;;
NARRATIVA;Manoscritto trovato a Saragoza;Jan Potocki;Edizione CDE spa Milano;1990;CORRIDOIO;;
NARRATIVA;Quando il dolore bussa alla tua porta;Giovanni Marchioni;Grafiche Lama;2006;CORRIDOIO;;
NARRATIVA;Almoust blue;Carlo Lucarelli;Einaudi Editore;1997;CORRIDOIO;;
NARRATIVA;Ci vorrebbe tanta colla;Vari;Consiglio Regionale delle Marche;1996;CORRIDOIO;;
NARRATIVA;La Pasion de Gesu Crist cum è scrita ti quatre vangel;Tonucci-Bertini -Ciavaglia;Consiglio Regionale delle Marche;2019;CORRIDOIO;;
NARRATIVA;Il duello;David Grossman;Mondadori Editore;2007;CORRIDOIO;;
NARRATIVA;La storia racconta;Vari;AVO Garbagnate;2010;CORRIDOIO;;
NARRATIVA;L'ombra sfuggente del male;Marcello Mamini;Edizioni nuova Prhomos;2015;CORRIDOIO;;
NARRATIVA;Isabella e Gioacchino;Marcello Mamini;Edizioni nuova Prhomos;2013;CORRIDOIO;;
NARRATIVA;Amori ridicoli;Milan Kundera;Adeplphi Editore;1988;CORRIDOIO;;
NARRATIVA;La strada per Roma;Luc Vidal;Città nuova editrice;1972;CORRIDOIO;;
NARRATIVA;Vivere per raccontarla;Gabriel Garcia Marquez;Mondadori Editore;2002;CORRIDOIO;;
NARRATIVA;Cent'anni di solitudine;Gabriel Garcia Marquez;Oscar Mondadori;1988;CORRIDOIO;;
NARRATIVA;Shantaram;Gregory David Roberts;Neri Pozza editore;2011;CORRIDOIO;;
NARRATIVA;Senza pudore;Helen Walsh;Einaudi Editore;2005;CORRIDOIO;;
NARRATIVA;Elogio dell'amore vizioso;Remmert-Ragagnin;Marsilio Editore;2006;CORRIDOIO;;
NARRATIVA;Diversi ma uguali;vari;Arti grafiche pesaresi;2008;CORRIDOIO;;
NARRATIVA;L'incontinente bianco;Giobbe Covatta;Zelig Editore;2002;CORRIDOIO;;
NARRATIVA;Le avventure di Arsenio Lupin;Maurice Leblanc;Newton Compton Editori;2021;CAMERA L;;
NARRATIVA;Frankenstein;Mary Shelley;Demetra;2020;CAMERA L;;
NARRATIVA;Lo strano caso del Dr. Jekyl e Mr Hyde;Robert Louis Stevenson;Demetra;2020;CAMERA L;;
NARRATIVA;Origin;Dan Brown;Mondadori Editore;2017;CORRIDOIO;;
NARRATIVA;Crypto;Dan Brown;Mondadori Editore;2007;CORRIDOIO;;
NARRATIVA;Il simbolo perduto;Dan Brown;Mondadori Editore;2009;CORRIDOIO;;
NARRATIVA;L'anticristo e il giudizio finale;Georges Barbarin;Brancato;1991;CORRIDOIO;;
NARRATIVA;Orbital;Samantha Harvey;NN EDITORE;2024;CORRIDOIO;;
NARRATIVA;Fourth Wing;Rebecca Yarros;Sperling & Kupfer;2023;CORRIDOIO;;
NARRATIVA;Iron Flame;Rebecca Yarros;Sperling & Kupfer;2023;CORRIDOIO;;
NARRATIVA;Onix Storm;Rebecca Yarros;Sperling & Kupfer;2025;CORRIDOIO;;
NARRATIVA;Il direttore con la pistola;Ghego Bianchini;Edizioni del veliero;2002;CORRIDOIO;;
NARRATIVA;Il libro delle barzellette;Vari;Orsa maggiore;1992;CORRIDOIO;;
NARRATIVA;Moon;James Herbert;New english library;1985;CORRIDOIO;;
NARRATIVA;Il codice Da Vinci;Dan Brown;Mondadori Editore;2005;CORRIDOIO;;
NARRATIVA;L'ultima cospirazione;Steve Berry;Casa editrice nord;2006;CORRIDOIO;;
NARRATIVA;Angeli e demoni;Dan Brown;Mondadori Editore;2004;CORRIDOIO;;
NARRATIVA;Streghe storie e segreti;Tersilla Gatto Chanu;Newton;2001;CORRIDOIO;;
NARRATIVA;Inchiesta su Gesù;Corrado Augias;Mondadori Editore;2006;CORRIDOIO;;
NARRATIVA;Il valzer degli addii;Milan Kundera;Fabbri Editore;1976;CORRIDOIO;;
NARRATIVA;Il Novissimo Ippoliti della lingua italiana;Gianni Ippoliti;Edizioni mediterranee;1992;CORRIDOIO;;
NARRATIVA;Parola di Giobbe;Giobbe Covatta;Salani Editore;1991;CORRIDOIO;;
NARRATIVA;Le regole della libertà;Vari;Edizioni Nobili;1997;CORRIDOIO;;
NARRATIVA;Il secondo tragico Fantozzi;Paolo Villaggio;Rizzoli Editore;1980;CORRIDOIO;;
NARRATIVA;Stranalandia;Stefano Benni;Feltrinelli;2002;CORRIDOIO;;
NARRATIVA;Diario di Giulio;Stefano Bordiglioni;Edizioni EZ;2004;CORRIDOIO;;
NARRATIVA;Diario di Giulio;Stefano Bordiglioni;Edizioni EZ;2004;CORRIDOIO;;
NARRATIVA;La tigre viziosa;Sergio Antonelli;Mondadori Editore;1979;CORRIDOIO;;
NARRATIVA;Una cosa sublime;Attilio Zanichelli;Einaudi Editore;1982;CORRIDOIO;;
NARRATIVA;Leopardismo;Gilberto Lonardi;Sansoni editore;1974;CORRIDOIO;;
NARRATIVA;Il cane domestico;Bruno Bini;Siad Edizioni;1984;CORRIDOIO;;
NARRATIVA;I fantasmi del castello;Stefano Bordiglioni;Einaudi Editore;1997;CORRIDOIO;;
NARRATIVA;Cristo si è fermato a Eboli;Carlo Levi;Mondadori Editore;1976;CORRIDOIO;;
NARRATIVA;La mia vita da Geisha;Liza Dalby;Sperling;1983;CORRIDOIO;;
NARRATIVA;Uomini e topi;John Steinbeck;Bompiani;2009;CORRIDOIO;;
NARRATIVA;Perle;Gianmarco Perboni;Rizzoli Editore;2010;CORRIDOIO;;
NARRATIVA;Il libro degli auguri;Serenella Santarelli;De vecchi Editore;1993;CORRIDOIO;;
NARRATIVA;Il dizionario del sesso;Dolly;News Milano;1987;CORRIDOIO;;
NARRATIVA;Il dizionario dell'amore;Dolly;News Milano;1987;CORRIDOIO;;
NARRATIVA;Il dizionario del galateo;Dolly;News Milano;1987;CORRIDOIO;;
NARRATIVA;Diario segreto di Adrian Mole;Sue Townsend;Mondadori Editore;2012;CORRIDOIO;;
NARRATIVA;Il buio oltre la siepe;Harper Lee;Feltrinelli;2011;CORRIDOIO;;
NARRATIVA;L'albero delle mani;Ruth Rendell;Rizzoli Editore;1984;CORRIDOIO;;
NARRATIVA;Turisti responsabili dalle alpi alla Sicilia;Barruti-Pochettino;Terredimezzo editore;2008;CORRIDOIO;;
NARRATIVA;Inferno;Dan Brown;Mondadori Editore;2013;CORRIDOIO;;
NARRATIVA;Roba da gatti;Doreen Tovey;Longanesi;1988;CORRIDOIO;;
NARRATIVA;Il cardillo addolorato;Anna Maria Ortese;Adeplphi Editore;1993;CORRIDOIO;;
NARRATIVA;Briciole di saggezza;Vari;Edizioni Camilliane;2008;CORRIDOIO;;
NARRATIVA;Fare poesia;Chiara Carminati;Mondadori Editore;2002;CORRIDOIO;;
NARRATIVA;I henitori raccontano;Vari;A. Gandiglio;2007;CORRIDOIO;;
NARRATIVA;La parrocchia dei Cappuccini nel borgo Pantano;Pierpaolo Bellucci;Walter Staffoggia editore;2010;CORRIDOIO;;
NARRATIVA;Storie di animali;Franco Vegliani;Sellerio editore;1991;CORRIDOIO;;
NARRATIVA;Il profeta;Kahlil Gibran;Newton;2013;CORRIDOIO;;
NARRATIVA;Il libro delle domande;Gregory Stock;Mondadori Editore;1988;CORRIDOIO;;
NARRATIVA;Storia di una gabbianella e del gatto che le insegno a volare;Luis Sepùlveda;Edizione CDE spa Milano;1996;CORRIDOIO;;
NARRATIVA;La tazza e il bastone Storie Zen;Vari;Edizione CDE spa Milano;1983;CORRIDOIO;;
NARRATIVA;Reset all'inferno e ritorno;Marcello Mamini;Edizioni nuova Prhomos;2017;CORRIDOIO;;
NARRATIVA;La ragazza del treno;Paula Hawkins;Piemme Editore;2015;CORRIDOIO;;
NARRATIVA;Manuale del guerriero della luce;Paolo Coelho;La nave di Tesco;2021;CORRIDOIO;;
NARRATIVA;L'alchimista;Paolo Coelho;Bompiani;2010;CORRIDOIO;;
NARRATIVA;Ci vediamo al bar biturico;Paolo Doni;Ugo Guanda editore;2006;CORRIDOIO;;
NARRATIVA;The great Gatsby;Scott Fitzgerald;Litoprint;2007;CORRIDOIO;;
NARRATIVA;Il mondo nuovo Ritorno al mondo nuovo;Aldous Huxley;Mondadori Editore;2020;CAMERA L;;
NARRATIVA;Io Robot;Isaac Asimov;Mondadori Editore;2020;CAMERA L;;
NARRATIVA;Robin Hood;Alexandre Dumas;Newton Compton Editori;1994;CAMERA L;;
NARRATIVA;La fabbrica di cioccolato;Roald Dahl;Einaudi Editore;2009;CORRIDOIO;;
NARRATIVA;Quando i narcisi erano solo narcisi;Carla Ragni;Arti grafiche editoriali;2006;CORRIDOIO;;
NARRATIVA;Le brutte scienze;Vari;Salani Editore;2000;CORRIDOIO;;
NARRATIVA;Alice nel paese delle meraviglie;Lewis Carroll;Fratelli Melita Editori;1990;CORRIDOIO;;
NARRATIVA;Parole clandestine;Elisa Kidanè;Vicis;2008;CORRIDOIO;;
NARRATIVA;Come uomo sulla terra;Vari;Infinito edizioni;2009;CORRIDOIO;;
NARRATIVA;Ai giovani digli del pianeta;Vari;Sermis;2005;CORRIDOIO;;
NARRATIVA;Piccoli brividi il ritorno della mummia;R.L. Stine;Mondadori Editore;2002;CORRIDOIO;;
NARRATIVA;Piccoli brividi L'avventura del mostruoso blob;R.L. Stine;Mondadori Editore;2002;CORRIDOIO;;
NARRATIVA;Il piccolo principe;Antoine De Saint Exupery;Bompiani;2009;CORRIDOIO;;
NARRATIVA;Mondo Babonzo;Stefano Benni;Gallucci;2006;CORRIDOIO;;
NARRATIVA;Cipì;Mario Lodi;Einaudi Editore;2018;CORRIDOIO;;
NARRATIVA;Romeo e Giulietta si fidanzarono dal basso;Marcello D'Orta;Mondadori Editore;1993;CORRIDOIO;;
NARRATIVA;Il principe di Mari;Giuseppe Fuligni;Edizioni Nobili;1988;CORRIDOIO;;
NARRATIVA;Rivergination;Luciana Littizzetto;Mondadori Editore;2006;CORRIDOIO;;
NARRATIVA;Il libro di Tonino;Fabio Tombari;Fabbri Editore;1974;CORRIDOIO;;
NARRATIVA;Fiabe italiane;Italo Calvino;Einaudi Editore;2011;CORRIDOIO;;
NARRATIVA;Nessun luogo è lontano;Richard Bach;Rizzoli Editore;1990;CORRIDOIO;;
NARRATIVA;Chissà perché;Andrea Valente;Gallucci;2005;CORRIDOIO;;
NARRATIVA;Il gabbiano Jonathan Livingston;Richard Bach;Rizzoli Editore;1981;CORRIDOIO;;
NARRATIVA;Fra streghe e risate;Vari;Raffaello editrice;2007;CORRIDOIO;;
NARRATIVA;Mille colpi di cannone;Vari;Libreria editrice vaticana;1990;CORRIDOIO;;
NARRATIVA;Autoritratto di un reporter;Ryszard Kapuscinski;Feltrinelli;2008;CORRIDOIO;;
NARRATIVA;Storie in cerca di dignità;Matteo Donati;EMI;2013;CORRIDOIO;;
NARRATIVA;Imbarazzismi;Kossi Komla Ebri;Edizioni dell'Arco;2002;CORRIDOIO;;
NARRATIVA;Uno sguardo;Ghego Bianchini;Gabbiano;1997;CORRIDOIO;;
NARRATIVA;La corsa di Mon Cicì;Vari;Edizioni mondo a quadretti;2007;CORRIDOIO;;
NARRATIVA;Il nonno di Rossana;Sergio Lucchesi;Tutti i cuori di Rossana;2003;CORRIDOIO;;
NARRATIVA;Il trono di spade vol I;George R.R. Martin;Mondadori Editore;2015;CAMERA L;;
NARRATIVA;Il trono di spade vol II;George R.R. Martin;Mondadori Editore;2015;CAMERA L;;
NARRATIVA;Eccessi di politicamente corretto;Ghego Bianchini;I Libri Del Borghese;2023;CAMERA L;;
NARRATIVA;Il trono di spade vol III;George R.R. Martin;Mondadori Editore;2015;CAMERA L;;
NARRATIVA;Il trono di spade vol IV;George R.R. Martin;Mondadori Editore;2015;CAMERA L;;
NARRATIVA;Il trono di spade vol V;George R.R. Martin;Mondadori Editore;2015;CAMERA L;;
NARRATIVA;The Hard Thing about hard thing;Ben Horowitz;Harper;2017;CAMERA L;;
NARRATIVA;L'ombra dello scorpione;Stephen King;Bompiani;2017;CAMERA L;;
NARRATIVA;Nostri amici fa Frolix 8;Philip K. Dick;Fanucci Editore;2012;CAMERA L;;
NARRATIVA;Fiori per Algernon;Daniel Keyes;Tea biblioteca;2015;CAMERA L;;
NARRATIVA;Never let me go;Kazuo Ishiguro;Faber and faber;1990;CAMERA L;;
NARRATIVA;Norwegian Wood;Murakami;Einaudi Editore;2013;CAMERA L;;
NARRATIVA;Il buio oltre la siepe;Harper Lee;Feltrinelli;2017;CAMERA L;;
NARRATIVA;Prendi un'anima di anni sette;Umberto Bianchini;Walter Staffoggia editore;2004;CORRIDOIO;;
NARRATIVA;Bianco;Marco Missiroli;Le fenici;2012;CAMERA L;;
NARRATIVA;La formula segreta delle SS;Di Reda-Ermetes;Newton;2013;CAMERA L;;
NARRATIVA;2001 Odissea nello spazio;Arthur C. Clarke;Fanucci Editore;2020;CORRIDOIO;;
NATURA;Le più belle riserve naturali del Mondo;WWF;Mondadori Editore;1991;SALA;;
NATURA;La natura in Europa;Patrick Blandin;L'Airone Editrice;1992;SALA;;
NATURA;Rapporto terra;Edward Goldsmith;Gremese Editore;1988;SALA;;
NATURA;La testimonianza dei fossili;Giovanni Pinna;Le scienze;1988;SALA;;
NATURA;Il clima mondiale;Ottavio Vittori;Le scienze;1990;SALA;;
NATURA;Antartide;Reinold Messner;Garzanti Editore;1991;CORRIDOIO;;
NATURA;Oceano;Piero Angela-Lorenzo Pinna;Mondadori Editore;1981;CORRIDOIO;;
NATURA;Trekking;L. Baffioni Venturi;Calderini;1995;CORRIDOIO;;
NATURA;Il mondo della natura;vari;Mondadori Editore;1977;CORRIDOIO;;
NATURA;Il grande libro dei Dinosauri;Vari;De Agostini Editore;2000;CORRIDOIO;;
NATURA;Fossili;Walker-Ward;DK;1992;CAMERA L;;
NEUROSCIENZE;A thousand brains;Jeff Hawkins;Basic Book New York;2021;CAMERA L;;
POLITICA;La città condivisa;Girometti-Gualtieri;Metauro;2023;CORRIDOIO;;
POLITICA;Superbonus 110% tutta la verità;Agostino Santillo;Edizioni GFE;2023;CORRIDOIO;;
POLITICA;Un amore chiamato politica;Luigi Di Maio;Piemme Editore;2022;CORRIDOIO;;
PSICOLOGIA;Manuale di Psicologia generale;Luciano Mecacci;Giunti Editore;2003;CORRIDOIO;;
PSICOLOGIA;Storia della psicologia;Vari;Einaudi Editore;2001;CORRIDOIO;;
PSICOLOGIA;L'avvenire di un illusione ;Freud-Pfister;Boringhieri Editore;1999;CORRIDOIO;;
PSICOLOGIA;Introduzione alla psicoanalisi;Sigmund Freud;Edizione CDE spa Milano;1978;CORRIDOIO;;
PSICOLOGIA;Come interpretare gli scarabocchi;Crotti-Magni;Edizione CDE spa Milano;1996;CORRIDOIO;;
PSICOLOGIA;Lettera a dun adolescente;Vittorino Andreoli;Rizzoli Editore;2013;CORRIDOIO;;
PSICOLOGIA;Metodi e strumenti per la qualità dell'integrazione;Banzato-Mattioli;Maggioli editore;1992;CORRIDOIO;;
PSICOLOGIA;V come vergogna;Daniele Marini;Cittadella editrice;2010;CORRIDOIO;;
PSICOLOGIA;Schizofrenia;Mary Boyle;Casa editrice astrolabio;1994;CORRIDOIO;;
PSICOLOGIA;La psicoanalisi;Joseph D. Lichtenberg;Casa editrice astrolabio;1988;CORRIDOIO;;
PSICOLOGIA;La mia voce ti accompagna;Milton H. Erickson;Casa editrice astrolabio;1983;CORRIDOIO;;
PSICOLOGIA;Famiglia e servizio sociale;William Jordan;Casa editrice astrolabio;1973;CORRIDOIO;;
PSICOLOGIA;La mente in analisi;Ignazio Majore;Casa editrice astrolabio;2005;CORRIDOIO;;
PSICOLOGIA;Pragmatica della comunicazione umana;vari;Casa editrice astrolabio;1971;CORRIDOIO;;
PSICOLOGIA;La percezione;Rookes-Willson;Il Mulino;2000;CORRIDOIO;;
PSICOLOGIA;Le vostre zone erogene;Wayne W. Dyer;Rizzoli Editore;2004;CORRIDOIO;;
PSICOLOGIA;Cosa Dire?;Robert Buckman;Edizioni Camilliane;1990;CORRIDOIO;;
PSICOLOGIA;Introduzione alla psicologia generale;Vari;LED;2000;CORRIDOIO;;
PSICOLOGIA;Tutto il tempo che conta;Dorella Scarponi;CLUEB;2003;CORRIDOIO;;
RELIGIONE;Life La mia storia nella Storia;Papa Francesco;Harper Collins;2025;CORRIDOIO;;
RELIGIONE;Francesco Spera L'autobiografia;Papa Francesco;Mondadori Editore;2025;CORRIDOIO;;
RELIGIONE;Il Cantico dei Cantici;Bibbia;Einaudi Editore;1994;SALA;;
RELIGIONE;Padre Pio;A. Negrisolo;Edizioni San Paolo;1997;SALA;;
RELIGIONE;La Bibbia di Gerusalemme nuovo testamento;Vari;Centro editoriale Dehoniano;1990;SALA;;
RELIGIONE;La bibbia di Gerusalemme vecchio testamento vol I;Vari;Centro editoriale Dehoniano;1990;SALA;;
RELIGIONE;La bibbia di Gerusalemme vecchio testamento vol II;Vari;Centro editoriale Dehoniano;1990;SALA;;
RELIGIONE;Don Elia Bellobono;Carlo Colonna;Edizioni ADP;1997;SALA;;
RELIGIONE;Cristianesimo;Umberto Galimberti;Feltrinelli;2017;CORRIDOIO;;
RELIGIONE;Testo del Gongyo della Nichiren Shoshu;Vari;Nichiren Shoshu editori;1986;CORRIDOIO;;
RELIGIONE;Luce nell'ombra;Ghassan Al Zain;HBI edizioni;2008;CORRIDOIO;;
RELIGIONE;Traduzione del nuovo mondo delle sacre scritture;Vari;The new bible translation;1961;CORRIDOIO;;
RELIGIONE;Buddha;Vari;Newton;1992;CORRIDOIO;;
RELIGIONE;Evangelii Gaudium;Papa Francesco;San Paolo;2013;CORRIDOIO;;
RELIGIONE;Volti dell'anima russa;Natalino Valentini;Edizioni Paoline;2012;CORRIDOIO;;
RELIGIONE;Biblioteca di teologia contemporanea;Cataldo Zuccaro;Queriniaia;2017;CORRIDOIO;;
RELIGIONE;Chiamati a seguire l'agnello;Stefano Zamboni;EDB;2007;CORRIDOIO;;
RELIGIONE;Caritas in Veritate;Benedetto XVI;Libreria editrice vaticana;2009;CORRIDOIO;;
RELIGIONE;Spe Salvi;Benedetto XVI;Libreria editrice vaticana;2007;CORRIDOIO;;
RELIGIONE;Gaudete et exsultate;Papa Francesco;Libreria editrice vaticana;2018;CORRIDOIO;;
RELIGIONE;Deus caritas est;Benedetto XVI;Libreria editrice vaticana;2013;CORRIDOIO;;
RELIGIONE;Fides et ratio;Giovanni Paolo II;Edizioni Paoline;2008;CORRIDOIO;;
RELIGIONE;Gaudium et spes;Concilio vaticano II;Edizioni Paoline;2007;CORRIDOIO;;
RELIGIONE;Veritates splendor;Giovanni Paolo II;Edizioni Paoline;2008;CORRIDOIO;;
RELIGIONE;Modelli di religione civile;Marco Cangiotti;Morcelliana;2002;CORRIDOIO;;
RELIGIONE;Gaudete et exsultate;Papa Francesco;Libreria editrice vaticana;2018;CORRIDOIO;;
RELIGIONE;Le encicliche sociali;Vari;Edizioni Paoline;2004;CORRIDOIO;;
RELIGIONE;Dei verbum;Concilio vaticano II;Edizioni Paoline;2008;CORRIDOIO;;
RELIGIONE;Sacramentaria & sienze religiose;Vari;Quaderni di scienze religiose;2010;CORRIDOIO;;
RELIGIONE;Sui sentieri dell'essere;Adriano Alessi;Las Roma;2004;CORRIDOIO;;
RELIGIONE;Maria madre di Gesù;Stefano de Fiores;EDB Edizioni;1992;CORRIDOIO;;
RELIGIONE;Il pensiero occidentale dalle origini ad oggi vol II;Reale-Antiseri;Editrice la scuola;1983;CORRIDOIO;;
